function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;36.99;0.96;0.96;0.96;0.96;0;1;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;19.27;0.5;0.5;0.5;0.5;0;1;
584;libc-2.31.so;pthread_attr_setschedparam;;10.79;0.28;0.28;0.28;0.28;0;1;
305;libc-2.31.so;vprintf;;9.25;0.24;0.24;0.24;0.24;0;1;
1902;libc-2.31.so;__nss_database_lookup;;3.47;0.09;0.09;0.09;0.09;0;1;
48;miniXyce.x;void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&);;3.47;0.09;0.09;0.09;0.09;0;1;
296;libc-2.31.so;swapcontext;;3.28;0.08;0.08;0.08;0.08;0;1;
585;libc-2.31.so;__libc_malloc;;2.5;0.06;0.06;0.06;0.06;0;1;
72;miniXyce.x;void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&);;1.93;0.05;0.05;0.05;0.05;0;1;
348;libc-2.31.so;psiginfo;;1.73;0.04;0.04;0.04;0.04;0;1;
3444;libstdc++.so.6.0.28;std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const;;1.16;0.03;0.03;0.03;0.03;0;1;
1026;libstdc++.so.6.0.28;.plt.sec@start;;0.77;0.02;0.02;0.02;0.02;0;1;
3389;libstdc++.so.6.0.28;std::ctype<char> const& std::use_facet<std::ctype<char> >(std::locale const&);;0.58;0.01;0.01;0.01;0.01;0;1;
1149;libstdc++.so.6.0.28;__dynamic_cast;;0.58;0.01;0.01;0.01;0.01;0;1;
2508;libstdc++.so.6.0.28;std::__cxx11::numpunct<char>::do_falsename() const;;0.39;0.01;0.01;0.01;0.01;0;1;
1265;libstdc++.so.6.0.28;__cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const;;0.39;0.01;0.01;0.01;0.01;0;1;
1215;libstdc++.so.6.0.28;operator new(unsigned long);;0.39;0.01;0.01;0.01;0.01;0;1;
453;libc-2.31.so;vscanf;;0.39;0.01;0.01;0.01;0.01;0;1;
102;miniXyce.x;.plt.sec@start;;0.39;0.01;0.01;0.01;0.01;0;1;
3794;libstdc++.so.6.0.28;std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long);;0.19;0;0;0;0;0;1;
3549;libstdc++.so.6.0.28;std::ostream& std::ostream::_M_insert<double>(double);;0.19;0;0;0;0;0;1;
3514;libstdc++.so.6.0.28;std::ostream::sentry::~sentry();;0.19;0;0;0;0;0;1;
3445;libstdc++.so.6.0.28;std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, double) const;;0.19;0;0;0;0;0;1;
3428;libstdc++.so.6.0.28;std::money_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, bool, std::ios_base&, char, std::string const&) const;;0.19;0;0;0;0;0;1;
2812;libstdc++.so.6.0.28;std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long);;0.19;0;0;0;0;0;1;
586;libc-2.31.so;__libc_free;;0.19;0;0;0;0;0;1;
515;libc-2.31.so;_IO_default_xsputn;;0.19;0;0;0;0;0;1;
512;libc-2.31.so;_IO_setb;;0.19;0;0;0;0;0;1;
73;miniXyce.x;void std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_realloc_insert<std::vector<double, std::allocator<double> > const&>(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> > const&);;0.19;0;0;0;0;0;1;
72;libc-2.31.so;__uselocale;;0.19;0;0;0;0;0;1;
24;miniXyce.x;main;;0.19;0;0;0;0;0;1;
